date,btc_p,ltc_p,eth_p,xrp_p,doge_p
27/10/2016,677.318,3.95921,11.51,0.00848057,0.000217059
28/10/2016,686.788,3.94638,11.5022,0.00814314,0.000216135
31/10/2016,700.917,4.04822,11.26309,0.00819595,0.000220261
01/11/2016,698.919,4.03078,10.90001,0.00589466,0.000170692
02/11/2016,733.744,4.07164,10.7724,0.00781518,0.000289788
03/11/2016,747.07,4.11579,10.84707,0.00880278,0.00024101
04/11/2016,692.179,3.91627,10.91529,0.00604826,0.000214301
07/11/2016,715.497,3.9,10.951,0.0065339,0.000266849
08/11/2016,707.345,3.90339,10.88468,0.00618942,0.000234973
10/11/2016,722.4,3.8256,10.6929,0.00823435,0.000230159
11/11/2016,714.0,3.80248,10.50006,0.00806511,0.000226798
14/11/2016,701.67,3.86329,10.12356,0.00809752,0.00022317
15/11/2016,706.994,3.85466,10.03473,0.00788052,0.000221789
16/11/2016,711.31,3.9091,10.15551,0.00784161,0.000221047
17/11/2016,741.603,3.90765,10.04,0.00772664,0.000223726
18/11/2016,739.089,3.91457,9.92045,0.00777787,0.000217725
21/11/2016,729.677,3.83,9.5,0.0075663,0.000222126
22/11/2016,737.69,3.94959,9.64298,0.0074339,0.000224213
23/11/2016,749.76,3.94885,9.88088,0.00706124,0.000218521
25/11/2016,738.44,3.86821,9.20754,0.00690204,0.000220455
28/11/2016,729.93,3.89175,8.99205,0.00700797,0.000217786
29/11/2016,734.17,3.8988,8.67695,0.00678022,0.000216629
30/11/2016,732.0,3.8548,8.12767,0.00672261,0.000214199
01/12/2016,742.396,3.83729,8.55385,0.00585438,0.000179768
02/12/2016,752.489,3.90463,8.40341,0.00797939,0.000300687
05/12/2016,769.0,3.9073,7.36101,0.00616706,0.000235389
07/12/2016,758.383,3.49076,7.75812,0.00634967,0.000265492
08/12/2016,765.011,3.65,8.3242,0.00612276,0.000239099
09/12/2016,768.288,3.69703,8.19899,0.0058973,0.000226129
12/12/2016,771.681,3.65843,8.22716,0.00677783,0.00022215
13/12/2016,778.074,3.67072,8.52,0.00670823,0.00021553
14/12/2016,778.72,3.67018,8.3943,0.0067046,0.000217147
15/12/2016,777.559,3.59731,8.21262,0.00666207,0.000215168
16/12/2016,778.11,3.67356,7.75679,0.00671017,0.000216894
19/12/2016,794.041,3.71673,7.8803,0.00654461,0.000218057
20/12/2016,792.52,3.62656,7.61649,0.00649956,0.000219223
21/12/2016,801.249,3.66615,7.65411,0.00644521,0.000227005
22/12/2016,830.0,3.62212,7.82815,0.0063632,0.000225239
23/12/2016,860.0,3.64677,7.57488,0.00628595,0.000236484
28/12/2016,933.0,4.35,7.20999,0.00617283,0.000223304
29/12/2016,978.001,4.56609,7.5484,0.00634061,0.000228483
30/12/2016,974.32,4.42463,8.3,0.00642641,0.000227563
03/01/2017,1017.791,4.55675,8.3965,0.00540783,0.000202775
06/01/2017,1005.989,4.25,10.31859,0.333656996,0.00286663
09/01/2017,916.939,4.03995,10.27581,0.248478994,0.00254337
11/01/2017,909.516,4.67767,10.51713,0.194123998,0.00113767
12/01/2017,789.884,3.945,9.79979,0.255699009,0.00214804
13/01/2017,807.794,4.03001,9.75,0.00659646,0.000208858
17/01/2017,832.806,3.88106,9.6081,0.00680049,0.000215367
18/01/2017,906.393,3.99982,10.23208,0.00670942,0.0002078
19/01/2017,892.312,3.9,10.35,0.00703364,0.000210597
20/01/2017,900.501,3.9,10.44988,0.00667528,0.000208534
23/01/2017,925.01,3.82689,10.78807,0.00669729,0.000208135
24/01/2017,917.968,3.82748,10.80851,0.00653998,0.000202261
25/01/2017,887.845,3.72,10.5,0.00651289,0.000203735
26/01/2017,896.89,3.71801,10.50829,0.00668965,0.00020805
27/01/2017,914.926,3.89417,10.54,0.00641529,0.000204315
30/01/2017,915.702,3.89,10.43361,0.00638051,0.000207922
31/01/2017,920.58,4.1421,10.43576,0.00631431,0.000205666
02/02/2017,988.789,4.07618,10.6655,0.00646913,0.000211405
03/02/2017,1009.996,4.05572,10.7705,0.00599086,0.0002055
06/02/2017,1017.86,3.94289,11.25399,0.303447992,0.00302616
08/02/2017,1050.998,3.96041,11.43001,0.173113003,0.00178833
10/02/2017,988.3,3.76972,10.93949,0.202675998,0.00108536
13/02/2017,1001.017,3.79486,11.3649,0.00625142,0.000207824
14/02/2017,996.394,3.78359,11.31341,0.00627846,0.000208628
15/02/2017,1016.472,3.84348,13.1847,0.00614739,0.00020907
16/02/2017,1015.75,3.90418,12.99848,0.0060273,0.000207491
17/02/2017,1038.501,3.84123,12.9,0.00593549,0.000208676
21/02/2017,1085.45,3.80757,12.47,0.00583183,0.00020843
22/02/2017,1128.458,3.81157,12.78238,0.00585956,0.000201662
