,Date,xrp_p
324,20/11/2016 23:59,0.00765113
325,21/11/2016 23:59,0.0075663
326,22/11/2016 23:59,0.0074339
327,23/11/2016 23:59,0.00706124
328,24/11/2016 23:59,0.00694953
329,25/11/2016 23:59,0.00690204
330,26/11/2016 23:59,0.00738981
331,27/11/2016 23:59,0.00707362
332,28/11/2016 23:59,0.00700797
333,29/11/2016 23:59,0.00678022
334,30/11/2016 23:59,0.00672261
335,01/12/2016 23:59,0.00670215
336,02/12/2016 23:59,0.00666045
337,03/12/2016 23:59,0.00658835
338,04/12/2016 23:59,0.00652688
339,05/12/2016 23:59,0.00643353
340,06/12/2016 23:59,0.00665533
341,07/12/2016 23:59,0.00685103
342,08/12/2016 23:59,0.00709728
343,09/12/2016 23:59,0.00713467
344,10/12/2016 23:59,0.00681579
345,11/12/2016 23:59,0.00674379
346,12/12/2016 23:59,0.00677783
347,13/12/2016 23:59,0.00670823
348,14/12/2016 23:59,0.0067046
349,15/12/2016 23:59,0.00666207
350,16/12/2016 23:59,0.00671017
351,17/12/2016 23:59,0.00654057
352,18/12/2016 23:59,0.00657417
353,19/12/2016 23:59,0.00654461
354,20/12/2016 23:59,0.00649956
355,21/12/2016 23:59,0.00644521
356,22/12/2016 23:59,0.0063632
357,23/12/2016 23:59,0.00628595
358,24/12/2016 23:59,0.00634947
359,25/12/2016 23:59,0.00644398
360,26/12/2016 23:59,0.00632573
361,27/12/2016 23:59,0.00619919
362,28/12/2016 23:59,0.00617283
363,29/12/2016 23:59,0.00634061
364,30/12/2016 23:59,0.00642641
365,31/12/2016 23:59,0.00644888
366,01/01/2017 23:59,0.00636835
367,02/01/2017 23:59,0.00631067
368,03/01/2017 23:59,0.0063859
369,04/01/2017 23:59,0.00656996
370,05/01/2017 23:59,0.006201
371,06/01/2017 23:59,0.00631464
372,07/01/2017 23:59,0.00636617
373,08/01/2017 23:59,0.00623309
374,09/01/2017 23:59,0.00616652
375,10/01/2017 23:59,0.00669832
376,11/01/2017 23:59,0.00641105
377,12/01/2017 23:59,0.00642293
378,13/01/2017 23:59,0.00659646
379,14/01/2017 23:59,0.00686349
380,15/01/2017 23:59,0.00672612
381,16/01/2017 23:59,0.00678801
382,17/01/2017 23:59,0.00680049
383,18/01/2017 23:59,0.00670942
384,19/01/2017 23:59,0.00703364
385,20/01/2017 23:59,0.00667528
386,21/01/2017 23:59,0.00670552
387,22/01/2017 23:59,0.00671301
388,23/01/2017 23:59,0.00669729
389,24/01/2017 23:59,0.00653998
390,25/01/2017 23:59,0.00651289
391,26/01/2017 23:59,0.00668965
392,27/01/2017 23:59,0.00641529
393,28/01/2017 23:59,0.00634167
394,29/01/2017 23:59,0.00640184
395,30/01/2017 23:59,0.00638051
396,31/01/2017 23:59,0.00631431
397,01/02/2017 23:59,0.00653953
398,02/02/2017 23:59,0.00646913
399,03/02/2017 23:59,0.00647392
400,04/02/2017 23:59,0.00649214
401,05/02/2017 23:59,0.00644226
402,06/02/2017 23:59,0.00644954
403,07/02/2017 23:59,0.00640668
404,08/02/2017 23:59,0.00643797
405,09/02/2017 23:59,0.0063739
406,10/02/2017 23:59,0.00628911
407,11/02/2017 23:59,0.00633273
408,12/02/2017 23:59,0.00626877
409,13/02/2017 23:59,0.00625142
410,14/02/2017 23:59,0.00627846
411,15/02/2017 23:59,0.00614739
412,16/02/2017 23:59,0.0060273
413,17/02/2017 23:59,0.00593549
414,18/02/2017 23:59,0.00556882
415,19/02/2017 23:59,0.00587791
416,20/02/2017 23:59,0.00587327
417,21/02/2017 23:59,0.00583183
418,22/02/2017 23:59,0.00585956
419,23/02/2017 23:59,0.00589478
420,24/02/2017 23:59,0.0057006
421,25/02/2017 23:59,0.0056653
422,26/02/2017 23:59,0.00567116
423,27/02/2017 23:59,0.00560862
424,28/02/2017 23:59,0.00553564
425,01/03/2017 23:59,0.00540783
426,02/03/2017 23:59,0.00599086
427,03/03/2017 23:59,0.00633945
428,04/03/2017 23:59,0.00629938
429,05/03/2017 23:59,0.0061292
430,06/03/2017 23:59,0.00605695
431,07/03/2017 23:59,0.00653433
432,08/03/2017 23:59,0.00650897
433,09/03/2017 23:59,0.00649812
434,10/03/2017 23:59,0.00622738
435,11/03/2017 23:59,0.0062382
436,12/03/2017 23:59,0.00625492
437,13/03/2017 23:59,0.00638493
438,14/03/2017 23:59,0.00638123
439,15/03/2017 23:59,0.00631403
440,16/03/2017 23:59,0.00639383
441,17/03/2017 23:59,0.00611606
442,18/03/2017 23:59,0.00671023
443,19/03/2017 23:59,0.00691246
444,20/03/2017 23:59,0.00697532
445,21/03/2017 23:59,0.00690917
446,22/03/2017 23:59,0.00730094
447,23/03/2017 23:59,0.010582
448,24/03/2017 23:59,0.0105181
449,25/03/2017 23:59,0.00911567
450,26/03/2017 23:59,0.00954531
451,27/03/2017 23:59,0.00959722
452,28/03/2017 23:59,0.00951388
453,29/03/2017 23:59,0.0101013
454,30/03/2017 23:59,0.0132755
455,31/03/2017 23:59,0.020889301
456,01/04/2017 23:59,0.021891501
457,02/04/2017 23:59,0.061159
458,03/04/2017 23:59,0.033022501
459,04/04/2017 23:59,0.037454899
460,05/04/2017 23:59,0.0355445
461,06/04/2017 23:59,0.032664798
462,07/04/2017 23:59,0.036319502
463,08/04/2017 23:59,0.035849299
464,09/04/2017 23:59,0.0340202
465,10/04/2017 23:59,0.033598099
466,11/04/2017 23:59,0.0329515
467,12/04/2017 23:59,0.034336001
468,13/04/2017 23:59,0.034382999
469,14/04/2017 23:59,0.0337791
470,15/04/2017 23:59,0.033955298
471,16/04/2017 23:59,0.033461999
472,17/04/2017 23:59,0.033654898
473,18/04/2017 23:59,0.0331835
474,19/04/2017 23:59,0.030173199
475,20/04/2017 23:59,0.029983699
476,21/04/2017 23:59,0.0327795
477,22/04/2017 23:59,0.0317696
478,23/04/2017 23:59,0.031278402
479,24/04/2017 23:59,0.0313843
480,25/04/2017 23:59,0.032346401
481,26/04/2017 23:59,0.0327968
482,27/04/2017 23:59,0.034816001
483,28/04/2017 23:59,0.044475
484,29/04/2017 23:59,0.052868199
485,30/04/2017 23:59,0.0516074
486,01/05/2017 23:59,0.055114701
487,02/05/2017 23:59,0.053908199
488,03/05/2017 23:59,0.060490001
489,04/05/2017 23:59,0.078914396
490,05/05/2017 23:59,0.093550503
491,06/05/2017 23:59,0.101791002
492,07/05/2017 23:59,0.141763002
493,08/05/2017 23:59,0.198211998
494,09/05/2017 23:59,0.160073996
495,10/05/2017 23:59,0.186066002
496,11/05/2017 23:59,0.183135003
497,12/05/2017 23:59,0.206067994
498,13/05/2017 23:59,0.214877993
499,14/05/2017 23:59,0.220222995
500,15/05/2017 23:59,0.270720005
501,16/05/2017 23:59,0.349860996
502,17/05/2017 23:59,0.394131988
503,18/05/2017 23:59,0.364868999
504,19/05/2017 23:59,0.327800989
505,20/05/2017 23:59,0.351633996
506,21/05/2017 23:59,0.336201012
507,22/05/2017 23:59,0.317954004
508,23/05/2017 23:59,0.323368013
509,24/05/2017 23:59,0.295890003
510,25/05/2017 23:59,0.246065006
511,26/05/2017 23:59,0.271807998
512,27/05/2017 23:59,0.212549001
513,28/05/2017 23:59,0.229553998
514,29/05/2017 23:59,0.232069999
515,30/05/2017 23:59,0.205323994
516,31/05/2017 23:59,0.246590003
517,01/06/2017 23:59,0.333656996
518,02/06/2017 23:59,0.303447992
519,03/06/2017 23:59,0.294580013
520,04/06/2017 23:59,0.299412996
